DATA;PLACA;CHASSI;MARCA;MODELO;VEICULO;Local Sinistro;ZONA/ESTADO DO SINISTRO;;
17/7/11 8:52;EXA9533;;HONDA;CB600F HORNET ;MOTOCICLETA;TRAVESSA TOMAS NABUCO;ZONA OESTE/SP;;
25/7/11 12:15;HEN2761;9C2PQ36007R001959;HONDA;CB600F HORNET ;MOTOCICLETA;R. DOM PEDRO I -SANTO ANDRE;ABCD/SP;;
22/8/11 5:08;DYY4135;9C2PC42008R000253;HONDA;CB600F HORNET ;MOTOCICLETA;AV. NOVE DE JULHO - SÃO VICENTE;LITORAL SUL / SP;;
4/9/11 10:48;EHY9261;JH2SC5999DR300326;HONDA;CBR 1000RR;MOTOCICLETA;AV. DOS BANDERANTES;ZONA SUL/SP;;
5/10/11 12:22;DVH9649;9C2PC36007R001722;HONDA;CB600F HORNET ;MOTOCICLETA;AV. INTERLAGOS;ZONA SUL/SP;;
10/10/11 19:20;DWX7171;;YAMAHA;MT-03;MOTOCICLETA;AV RAIMUNDO PEREIRA DE MAGALHAES - TAIPAS;ZONA NORTE/SP;;
30/10/11 22:40;EQD2391;96PZRDD18BFS00032;KAWASAKI;Z1000;MOTOCICLETA;AV GENERAL MARCONDES SALGADO;LITORAL SUL / SP;;
6/11/11 8:55;EHZ7664;96PZRAL14AFS00222;KAWASAKI;Z750;MOTOCICLETA;RUA EMMA BEATRIZ MARIA SOLFREDI - PARQUE SÃO RAFAEL;ZONA LESTE/SP;;
18/11/11 13:35;EXE8629;;HONDA;CB 300;MOTOCICLETA;RUA EDUARDO AMARO;ZONA SUL/SP;;
14/1/12 18:55;BPS5818;9C6KM0030C0014619;YAMAHA;XT 660R;MOTOCICLETA;RUA CAOPIA - SÃO CAETANO;ABCD/SP;;
3/2/12 22:28;EJN6248;009CPC420AR001098;HONDA;CB600F HORNET ;MOTOCICLETA;RUA MARIANO MORO - VILA REGINA;ZONA LESTE/SP;;
4/2/12 19:04;ESR1246;96PZRAL18BFS02699;KAWASAKI;Z750;MOTOCICLETA;RUA MIGUEL MOTA;ZONA LESTE/SP;;
11/3/12 22:50;EJR0539;9CDGP74AJAM101853;SUZUKI;BANDIT 650;MOTOCICLETA;ROD. PADRE MANOEL DA NOBREGA;LITORAL SUL / SP;;
22/3/12 2:30;DKG2112;94DCMUD225J575540;NISSAN;FRONTIER 4X4;SUV;R. MOURATO COELHO, 750 - PINHEIROS - SÃO PAULO / SP;ZONA OESTE/SP;;
25/3/12 8:07;EHW8895;9CDGT77AJ9M004243;SUZUKI;GSXR 1000;MOTOCICLETA;AV DOS BANDEIRANTES - SÃO PAULO / SP;ZONA SUL/SP;;
27/3/12 9:34;EXD5247;;HONDA;XRE 300;MOTOCICLETA;RUA MAESTRO CARDIM - BELA VISTA - SÃO PAULO;ZONA SUL/SP;;
31/3/12 9:55;FOF9180;96PZRAL19AFS00894;KAWASAKI;Z750;MOTOCICLETA;AV MINISTRO PETRÔNIO PORTELA  FREGUESIO DO O – SÃO PAULO ;ZONA OESTE/SP;;
5/5/12 3:50;ESE5729;9C2PC4220CR000996;HONDA;CB600F HORNET ;MOTOCICLETA;AV SEN. TEOTÔNIO VILELA - SÃO PAULO / SPAV SEN. TEOTÔNIO VILELA - SÃO PAULO / SP.;ZONA LESTE/SP;;
6/5/12 9:40;KQF5945;96PZRAL10BFS02650;KAWASAKI;Z750;MOTOCICLETA;RUA ARMANDO AMARAL REBELO,265 – RIO DE JANEIRO / BAIRRO CAMPO GRANDE;RIO DE JANEIRO - RJ ;;
11/5/12 12:10;EII1976;9C2ND07008R009959;HONDA;NX-4 FALCON;MOTOCICLETA;RUA URATINGA - BAIRRO VILA BONILIA - SÃO PAULO;ZONA LESTE/SP;;
12/5/12 17:35;EXB2764;JH2PC4096BK400641;HONDA;CBR 600RR;MOTOCICLETA;AV DOS BANDEIRANTES ALT;1001 – SÃO PAULO - SP;ZONA LESTE/SP;;
20/5/12 8:43;IPJ9359;9CDGT76AJ7M001810;SUZUKI;GSXR 1000;MOTOCICLETA;AV DOS BANDEIRANTES – SÃO PAULO - SP;ZONA LESTE/SP;;
